Job Title,Company,Location,No. of Openings,Job Level,Salary,Experience,Job URL,Job Description
Videographer,Arksh Group Pvt. Ltd.,"Lazimpat, Kathmandu District",1,Junior Level,"Nrs. 20k-25k Monthly 
                                                                                                            (Negotiable)",Fresher,https://www.kumarijob.com/ev-nepal/59682-videographer,"Produce high-quality video content for marketing and internal projects.
Collaborate with the marketing team to ensure content aligns with the brand’s vision.
Handle technical aspects of filming (lighting, sound, camera)."
Native Android App Developer,Hot Stone,"Kathmandu, Kathmandu District",1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/hot-stone/59545-native-android-app-developer,"Design and develop high-quality, scalable, and efficient Android applications.
Collaborate with cross-functional teams to define app features and requirements.
Integrate third-party APIs and services into Android applications."
Internship Opportunity at Giftmandu,Giftmandu.com,"Khumaltar, Lalitpur, Lalitpur District",4,Entry Level,15k-20k Monthly,Fresher,https://www.kumarijob.com/giftmanducom/59448-internship-opportunity-at-giftmandu,"Order Processing: Assist in managing online orders, ensuring accuracy in packaging and dispatch.
Gift Wrapping Staff: Help with professional gift wrapping, ensuring beautifully presented packages.
Customer Support: Respond to customer inquiries via email, chat, and phone, ensuring excellent service.
Delivery Management: Coordinate with the delivery team, organize shipments, and track orders."
Japanese Language Teacher,Harbour International Education,"Kathmandu, Kathmandu District",1,Junior Level,Not mentioned,2 + years,https://www.kumarijob.com/harbour-international-education/59315-japanese-language-teacher,"Conduct engaging Language Classes.
Develop lesson plans, practice materials, and mock tests to enhance student performance.
Provide personalized feedback and strategies for score improvement.
Track student progress and guide them through the exam process.
Stay updated with the latest Japanese Language exam patterns and strategies.
Adapt teaching methods to cater to various language proficiency tests."
Grade Teachers,LRI School,"Kathmandu, Kathmandu District",5,Mid Level,Nrs.  Monthly,2 + years,https://www.kumarijob.com/learning-realm-international-lri-school/59411-grade-teachers,"Develop and implement age-appropriate lesson plans that align with the curriculum for the assigned grade.
Use diverse teaching methods, including lectures, interactive activities, group work, and hands-on exercises.
Integrate various subjects (e.g., language arts, math, science, social studies) into a comprehensive learning experience.
Modify lesson plans to address the needs of students with diverse learning abilities."
Sales Trainee - 3 Month Paid Traineeship,Delta Autocorp Pvt. Ltd.,"Kathmandu, Kathmandu, Kathmandu District",3,Entry Level,Nrs. 15k Monthly,Fresher,https://www.kumarijob.com/delta-autocorp-pvt-ltd/59517-sales-trainee-3-month-paid-traineeship,"Engage with customers to understand their needs and provide appropriate product recommendations.
Effectively describe and demonstrate product features and benefits.
Assist in organizing and managing sales camps and promotional events.
Conduct outdoor sales activities to generate leads and drive conversions.
Maintain records of customer interactions and provide feedback to the sales team."
Area Sales Representative (Honda),Padma Jyoti Group,Janakpur - 1,10,Entry Level,"Nrs. (Negotiable) Monthly 
                                                                                                            (Negotiable)",Fresher,https://www.kumarijob.com/jyoti-group-1/59750-area-sales-representative-honda,"Generating leads.
Meeting or exceeding sales goals.
Negotiating all contracts with prospective clients.
Preparing and submitting sales contracts for orders.
Answering client questions about credit terms, products, prices, and availability.
Willing to travel among showrooms for monitoring."
Jr. Graphic Designer,Web Royale Pvt. Ltd.,"New Baneshwor, Kathmandu, Kathmandu District",2,Junior Level,Nrs. 15k-20k Monthly,6 months,https://www.kumarijob.com/web-royale-pvt-ltd/59273-jr-graphic-designer,"Social Media Design – Create eye-catching posts, reels, stories, and highlights for platforms like Instagram, Facebook, Pinterest, Twitter, and GMB.
Content Calendar Management – Plan and organize social media content, leveraging AI tools for enhanced engagement and consistency.
Creative Content Creation – Understanding the business in depth and using AI-powered tools to generate fresh ideas, enhance visuals, and optimize content strategies.
Brand Identity – Ensure brand consistency across all marketing materials and digital platforms.
Video & Animation – Edit and enhance short videos, reels, and animations to boost audience engagement.
Creative Collaboration – Work closely with the social media and marketing team to develop innovative design strategies.
Trend Research – Stay updated with the latest design trends, AI-driven innovations, and evolving social media dynamics."
Japanese Language Teacher,Harbour International Education,"Kathmandu, Kathmandu District",1,Junior Level,Not mentioned,2 + years,https://www.kumarijob.com/harbour-international-education/59315-japanese-language-teacher,"Conduct engaging Language Classes.
Develop lesson plans, practice materials, and mock tests to enhance student performance.
Provide personalized feedback and strategies for score improvement.
Track student progress and guide them through the exam process.
Stay updated with the latest Japanese Language exam patterns and strategies.
Adapt teaching methods to cater to various language proficiency tests."
Internship Opportunity at Giftmandu,Giftmandu.com,"Khumaltar, Lalitpur, Lalitpur District",4,Entry Level,15k-20k Monthly,Fresher,https://www.kumarijob.com/giftmanducom/59448-internship-opportunity-at-giftmandu,"Order Processing: Assist in managing online orders, ensuring accuracy in packaging and dispatch.
Gift Wrapping Staff: Help with professional gift wrapping, ensuring beautifully presented packages.
Customer Support: Respond to customer inquiries via email, chat, and phone, ensuring excellent service.
Delivery Management: Coordinate with the delivery team, organize shipments, and track orders."
Student Wellness Officer (Part-time),Prime College,"Nayabazar, Kathmandu, Kathmandu District",1,Entry Level,Nrs.  Monthly,1 + year,https://www.kumarijob.com/prime-college/59298-student-wellness-officer-part-time,"Serve as a confidential, approachable, and non-judgmental resource for students seeking wellness support.
Provide initial emotional support to students who are experiencing challenges such as stress, anxiety, family issues, academic pressure, or personal crises.
Maintain clear boundaries by offering supportive listening—not therapy—and connecting students with licensed professionals or counseling services as needed.
Coordinate with academic and administrative teams to create a supportive environment for students.
Help organize wellness awareness programs, workshops, and campaigns in collaboration with the Ethics & Standard Office.
Maintain accurate and confidential records of student interactions and referrals.
Follow up with students (as appropriate) to ensure they are receiving the support they need.
Promote a culture of care and well-being on campus."
Area Sales Representative (Honda),Padma Jyoti Group,Janakpur - 1,10,Entry Level,"Nrs. (Negotiable) Monthly 
                                                                                                            (Negotiable)",Fresher,https://www.kumarijob.com/jyoti-group-1/59750-area-sales-representative-honda,"Generating leads.
Meeting or exceeding sales goals.
Negotiating all contracts with prospective clients.
Preparing and submitting sales contracts for orders.
Answering client questions about credit terms, products, prices, and availability.
Willing to travel among showrooms for monitoring."
