Job_Title,Company,Location,No. of Openings,Job Level,Salary,Experience,Job URL,Job Description
Manager - Digital Marketing,Sparkle Kids Academy,"Manbhawan, Lalitpur, Nepal",Not Found,Not Found,NPR 20K,Less Than or Equal To 1 year,https://www.vocalpanda.com/manager-digital-marketing-5543,"Develop and execute digital marketing strategies.
Manage content marketing, including blogs, social media & campaigns.
Create & edit video content for online platforms.
Oversee website updates and improvements.
Design visuals using Canva & other tools.
Analyze marketing performance & optimize strategies.
Knowledge of digital marketing & content creation.
Experience with video content & website management.
Proficiency in Canva & other design tools.
Strong communication skills & a good personality."
Machine Learning Engineer,Dhuni Software,"Thapathali, Kathmandu, Nepal",1,Mid level,Negotiable,Less Than or Equal To 3 years,https://www.vocalpanda.com/machine-learning-engineer-5573,"Design, develop and implement NLP algorithms and techniques to extract insights from unstructured data.
Develop custom NLP models for different applications such as chatbots, sentiment analysis, and text classification.
Build and maintain NLP pipelines for large scale data processing and analysis.
Collaborate with cross-functional teams such as product management and data science to identify business requirements and implement NLP solutions to address them.
Stay up-to-date with the latest advancements in NLP and machine learning research and incorporate them into our products and services.
Communicate effectively with both technical and non-technical stakeholders to explain NLP concepts and solutions.
Master's degree in computer science, statistics, mathematics, or a related field. A PhD may be preferred.
1-3 years of strong programming skills in Python and experience with popular NLP libraries such as NLTK, SpaCy, and Gensim
Experience with machine learning techniques and deep learning frameworks such as TensorFlow and PyTorch
Solid understanding of data structures, algorithms, and software design principles
Strong analytical and problem-solving skills
Excellent communication skills and ability to work in a team environment
Experience working in an Agile development environment is a plus.
Ability to work independently and as part of a team."
Content Creator,Allipse Ecom Company,"Balkhu, Kathmandu, Nepal",1,Mid level,NPR 18K - 20K,Less Than 1 year,https://www.vocalpanda.com/content-creator-5582,"Shoot and edit engaging short-form videos.
Use CapCut for basic video editing.
Assist in content planning and execution.
Basic knowledge of CapCut editing.
Ability to shoot videos.
Basic English communication skills.
Creativity and willingness to learn."
Counsellor,Life Tech Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal",Not Found,Not Found,Negotiable,1 year,https://www.vocalpanda.com/counsellor-5583,"Counsel and guide participants about the competition, registration process, and benefits.
Address inquiries from students, parents, and institutions regarding the event.
Encourage and motivate students to participate and showcase their coding skills.
Coordinate with the organizing team to ensure a smooth competition process.
Maintain participant records and provide necessary updates.
Assist in promotional and outreach activities related to the competition.
Female candidates only.
Bachelor's degree in any field (preferred but not mandatory).
Strong communication and interpersonal skills.
Ability to handle queries and provide clear information.
Basic understanding of coding or tech competitions is a plus.
Friendly, approachable, and proactive attitude.
Be part of an exciting tech initiative.
Work in a collaborative and fun environment.
Competitive salary and professional growth opportunities."
Front Office Supervisor,Hotel Tradition & Spa,"Thamel, Kathmandu, Nepal",1,Mid level,NPR 17K - 21K,More Than 3 years,https://www.vocalpanda.com/front-office-supervisor-5587,"Supervise and coordinate front desk staff, ensuring efficient check-in and check-out processes.
Handle guest inquiries, complaints, and special requests professionally.
Train and mentor front office team members to maintain high service standards.
Monitor reservations, room availability, and coordinate with housekeeping for smooth room turnovers.
Ensure accurate billing, cash handling, and financial transactions at the front desk.
Maintain hotel policies and security protocols, including guest verification and key management.
Prepare daily reports and assist in revenue tracking.
Collaborate with other hotel departments to enhance guest satisfaction."
Outdoor Marketing,Sonika trade link,"Mahaboudha, Kathmandu, Nepal",10,Mid level,NPR 25K - 35K,1 year,https://www.vocalpanda.com/outdoor-marketing-5592,"Conduct outdoor marketing campaigns to promote the company's products/services.
Visit potential clients, businesses, and public spaces to generate leads and increase brand awareness.
Distribute marketing materials (brochures, flyers, banners, etc.) in strategic locations.
Maintain relationships with existing clients and identify new business opportunities.
Gather market insights and customer feedback to improve marketing strategies.
Collaborate with the sales and marketing team to achieve business goals.
Strong interpersonal and communication skills.
Ability to work independently and travel extensively.
Goal-oriented with a proactive approach to achieving targets."
Sales & Front Dest Officer,Prabisha Trading Pvt. Ltd.,"Airport Gate, Airport Gate, Kathmandu, Nepal",Not Found,Not Found,Negotiable,More Than 1 year,https://www.vocalpanda.com/sales-front-dest-officer-5601,"Welcome and greet visitors and clients with a friendly demeanor,
Offer clear information about our product and services to the customers,
Update and maintain visitor’s records in the database,
Manage mail and courier services, customer database and tele-callings.
Minimum education: 10+2 (Bachelor’s degree preferred).
At least one year of experience in a front desk or administrative role. However, freshers with strong communication and organizational skills are encouraged to apply.
Sound verbal and written communication skills in English.
Strong interpersonal skills,
Sound knowledge in MS Office applications (Word, Excel, Outlook),
Ability to handle phone calls, emails, and in-person inquiries efficiently,
Organizational and multitasking abilities.
Develop and implement marketing strategies,
Plan and execute online and offline marketing campaigns,
Generate leads and follow up with potential customers through calls, emails, and meetings.
Education: Minimum 10+2 (bachelor’s degree in marketing, Business Administration, or a related field preferred),
Experience: At least one year of experience in marketing, preferably in the automobile sales and marketing sector. However, freshers with strong communication and marketing skills are encouraged to apply,
Excellent communication and interpersonal skills,
Strong customer handling and negotioation skills,
Strong knowledge of social media marketing and digital platforms."
Female Therapist,Reputed Spa,"Maharajgunj, Kathmandu, Nepal",Not Found,Not Found,NPR 20K - 30K,Less Than Less than a year,https://www.vocalpanda.com/female-therapist-5615,"Perform a variety of treatments, including massages, facials, body scrubs, waxing, and other beauty therapies, tailored to client needs.
Consult with clients to understand their preferences and recommend suitable treatments.
Maintain a clean, hygienic, and organized workspace, adhering to safety and sanitation standards.
Stay updated on the latest beauty trends, techniques, and spa products.
Handle client inquiries, bookings, and feedback professionally and courteously.
Ensure all equipment and tools are in proper working condition and report any issues to management.
Proven experience as a therapist in a spa or wellness center.
Strong knowledge of anatomy, physiology, and various treatment techniques.
Excellent communication and interpersonal skills.
Ability to maintain a calm, welcoming, and professional demeanor.
Physical stamina to perform treatments for extended periods.
Awareness of hygiene and safety standards."
Video Editor,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",2,Mid level,Negotiable,Less Than 1 year,https://www.vocalpanda.com/video-editor-5617,"Edit and refine videos, Enhance visuals with effects, transitions, and animations.
Optimize content for YouTube, Instagram, Facebook, and TikTok.
Adjust color, lighting, and sound for professional quality.
Develop engaging video stories aligned with brand goals.
Deliver projects on time while maintaining high standards.
Proficiency in using Premiere Pro, Final Cut Pro, or any editing software
Experience with After Effects, Photoshop, or Illustrator.
Strong storytelling and creative editing skills.
Knowledge of color correction and sound design.
Awareness of the latest video trends and social media formats.
Ability to work efficiently under deadlines."
Motion Graphics Animator,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",1,Mid level,Negotiable,Less Than or Equal To 1 year,https://www.vocalpanda.com/motion-graphics-animator-5618,"Create engaging motion graphics and animations using After Effects, Blender, or Cinema 4D.
Design dynamic visuals, kinetic typography, and animated infographics.
Develop 2D/3D animations for social media, advertisements, and branding content.
Enhance videos with effects, transitions, and compositing techniques.
Collaborate with designers, video editors, and marketing teams to align animations with brand goals.
Optimize animations for different platforms, including YouTube, Instagram, and websites.
Stay updated with the latest trends in motion graphics and animation.
Proficiency in After Effects, Illustrator, and Photoshop (Cinema 4D or Blender is a plus).
Strong understanding of animation principles, timing, and visual storytelling.
Experience in kinetic typography, logo animation, and VFX.
Basic video editing skills in Premiere Pro or DaVinci Resolve.
Creativity, attention to detail, and ability to work under tight deadlines."
