Job Title,Company,Location,No. of Openings,Job Level,Salary,Experience,Job URL,Job Description
Front-End Developer (React.js),Investor Friendly CPA,"Jhamsikel, Lalitpur",[ 2 ],Senior Level,Not Disclosed,More than or equal to 5 years,https://merojob.com/front-end-developer-reactjs-2/,"Develop and maintain scalable, reusable, and efficient front-end components using React.jsCollaborate with UX/UI designers to ensure a seamless and visually appealing user experienceOptimize applications for performance, accessibility, and responsivenessIntegrate RESTful APIs, GraphQL, and third-party servicesWrite clean, modular, and well-documented JavaScript/TypeScript codeTroubleshoot and debug front-end issuesImplement best practices for state management (Redux, Context API, Recoil, Zustand, etc.)Stay up to date with the latest React.js trends and best practicesWork in an Agile/Scrum environment with cross-functional teams"
Python Backend Developer,Investor Friendly CPA,"Jhamsikel, Lalitpur",[ 3 ],Senior Level,Not Disclosed,More than or equal to 5 years,https://merojob.com/python-backend-developer/,"Design, develop, test, and deploy backend services and APIs using Python.Collaborate with frontend developers to integrate user-facing elements with server-side logic.Optimize applications for performance, scalability, and maintainability.Develop and maintain robust and secure databases (e.g., PostgreSQL, MySQL, MongoDB).Implement data pipelines, ETL processes, and integrations with third-party services.Troubleshoot and debug existing applications to improve performance and reliability.Write clean, maintainable, and well-documented code following best practices.Participate in code reviews to ensure code quality and maintain development standards.Stay updated on industry trends, technologies, and best practices in backend development."
Product Manager - Tax Planning …,Investor Friendly CPA,Kathmandu,[ 1 ],Senior Level,"NRs. 100,000 Monthly",More than 5 years,https://merojob.com/product-manager-71/,"Define the product vision and roadmap, with a focus on tax planning functionality, scalability, and AI-driven innovation.Stay updated on industry trends, tax regulations, and competitor offerings to maintain a competitive edge.Align product goals with business objectives and market needs."
Cybersecurity & IT Operations L…,Alaya,Lalitpur,[ 1 ],Mid Level,Not Disclosed,More than 1 year,https://merojob.com/cybersecurity-it-operations-lead/,A strategic thinker with a hands-on mindsetCalm under pressure and energized by solving complex challengesPassionate about cybersecurity trends and continuous improvementFluent in translating tech issues into actionable business insights
School Librarian,Millsberry School,"Bansbari Road, Kathmandu",[ 1 ],Mid Level,"NRs. 25,000 - 40,000 Monthly",More than or equal to 1 year,https://merojob.com/school-librarian-11/,"Manage and maintain the school library’s collection (books, digital resources, materials)Assist students and staff in locating and selecting appropriate reading materialsPromote reading programs, book clubs, and literary eventsEnsure smooth daily operations of the library, including check-outs and returnsMaintain an organized, quiet, and welcoming library environmentSupport students in developing research and information literacy skillsCollaborate with teachers to integrate library resources into the curriculum"
School Nurse,Millsberry School,"Bansbari Road, Kathmandu",[ 1 ],Mid Level,"NRs. 32,000 - 40,000 Monthly",More than or equal to 1 year,https://merojob.com/school-nurse-65/,"Administer first aid and basic healthcare to students and staffMaintain up-to-date student health records and immunization documentationMonitor and manage health-related issues and chronic conditionsPromote health, hygiene, and safety practices in the schoolCommunicate with parents and staff about health concerns or emergenciesCollaborate with school counselors and faculty for holistic student support"
Multi Destination Counsellor,Study Info Centre,New Baneshwor,[ 2 ],Mid Level,"NRs. 80,000 - 100,000 Monthly",More than 3 years,https://merojob.com/multi-destination-counsellor/,Provide professional and quality counselling service that meets/exceeds customers' expectations Achieve the assigned targets by intakesDeliver the pipeline leads and conversion targets by intakeBuild strong customer relationships through genuine guidanceBe 100% compliant with application processesBe a productive and efficient member of the teamEffectively implement global priority projects at the country/office level.
Videographer and Chinese Transl…,Wheel Technology,"Hadigaun, Kathmandu",[ 1 ],Mid Level,"NRs. 55,000 - 80,000 Monthly",More than 1 year,https://merojob.com/videographer-and-chinese-translator/,"Film and produce high-quality video content for various projects.Edit raw video footage into polished, professional videos.Translated written or spoken content from English to Chinese.Collaborate with team members to develop video concepts and storylines.Ensure that all video and translation work meets high standards of accuracy and quality.Maintain and organize video files, footage libraries and translate documents.Operate camera equipment, manage video shoots, and handle translation requests in real-time."
Team Leader – Mortgage Credit A…,Outsourced Experts,Kathmandu,[ 1 ],Senior Level,"NRs. 140,000 - 180,000 Monthly",More than 3 years,https://merojob.com/team-leader-79/,"Lead, mentor, and manage a team of Mortgage Credit Analysts, ensuring optimal performance and productivity.Provide training, coaching, and professional development to enhance team expertise and efficiency.Monitor daily workflows, ensuring timely and accurate loan assessments.Conduct regular performance reviews and implement strategies for continuous improvement."
Digital Marketing Manager,RV Group,"Naxal, Kathmandu",[ 1 ],Senior Level,Not Disclosed,More than 5 years,https://merojob.com/digital-marketing-manager-176/,"Create comprehensive digital marketing plans aligned with business goals.Utilize various digital channels such as SEO, SEM, PPC, social media, email marketing, and content marketing."
