Job_Title,Company,Location,Job Level,Salary,Job Description
Manager - Digital Marketing,Sparkle Kids Academy,"Manbhawan, Lalitpur, Nepal",Associate,NPR 20K,"Develop and execute digital marketing strategies.
Manage content marketing, including blogs, social media & campaigns.
Create & edit video content for online platforms.
Oversee website updates and improvements.
Design visuals using Canva & other tools.
Analyze marketing performance & optimize strategies.
Knowledge of digital marketing & content creation.
Experience with video content & website management.
Proficiency in Canva & other design tools.
Strong communication skills & a good personality."
Machine Learning Engineer,Dhuni Software,"Thapathali, Kathmandu, Nepal",Mid level,Negotiable,"Design, develop and implement NLP algorithms and techniques to extract insights from unstructured data.
Develop custom NLP models for different applications such as chatbots, sentiment analysis, and text classification.
Build and maintain NLP pipelines for large scale data processing and analysis.
Collaborate with cross-functional teams such as product management and data science to identify business requirements and implement NLP solutions to address them.
Stay up-to-date with the latest advancements in NLP and machine learning research and incorporate them into our products and services.
Communicate effectively with both technical and non-technical stakeholders to explain NLP concepts and solutions.
Master's degree in computer science, statistics, mathematics, or a related field. A PhD may be preferred.
1-3 years of strong programming skills in Python and experience with popular NLP libraries such as NLTK, SpaCy, and Gensim
Experience with machine learning techniques and deep learning frameworks such as TensorFlow and PyTorch
Solid understanding of data structures, algorithms, and software design principles
Strong analytical and problem-solving skills
Excellent communication skills and ability to work in a team environment
Experience working in an Agile development environment is a plus.
Ability to work independently and as part of a team."
Content Creator,Allipse Ecom Company,"Balkhu, Kathmandu, Nepal",Mid level,NPR 18K - 20K,"Shoot and edit engaging short-form videos.
Use CapCut for basic video editing.
Assist in content planning and execution.
Basic knowledge of CapCut editing.
Ability to shoot videos.
Basic English communication skills.
Creativity and willingness to learn."
Counsellor,Life Tech Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal",Mid level,Negotiable,"Counsel and guide participants about the competition, registration process, and benefits.
Address inquiries from students, parents, and institutions regarding the event.
Encourage and motivate students to participate and showcase their coding skills.
Coordinate with the organizing team to ensure a smooth competition process.
Maintain participant records and provide necessary updates.
Assist in promotional and outreach activities related to the competition.
Female candidates only.
Bachelor's degree in any field (preferred but not mandatory).
Strong communication and interpersonal skills.
Ability to handle queries and provide clear information.
Basic understanding of coding or tech competitions is a plus.
Friendly, approachable, and proactive attitude.
Be part of an exciting tech initiative.
Work in a collaborative and fun environment.
Competitive salary and professional growth opportunities."
Inventory Manager,Spiritual Nepal,"Tarakeshwar, Nepal",Senior,NPR 25K - 45K,"Manage crystal stock, storage, and quality control.
Source and maintain relationships with reliable suppliers.
Track inventory levels, forecast demand, and prevent shortages.
Ensure timely order fulfillment and minimize losses.
Maintain inventory records using tracking software.
Experience in inventory or store management.
Knowledge of crystals and holistic products (preferred).
Strong organizational and negotiation skills.
Familiarity with inventory software.
Bachelor’s degree in Business/Supply Chain (preferred)."
Telecaller- Marketing,Saraogi Nepal Travels,"New Road, Kathmandu, Nepal",Mid level,NPR 15K - 20K,"Make outbound calls to potential customers for travel packages.
Explain tour packages, offers, and services to clients.
Follow up with leads and maintain customer records.
Convert inquiries into bookings.
Coordinate with the sales team for closures.
Experience in telecalling or sales (preferred).
Good communication skills in Hindi & English.
Basic knowledge of travel and tourism.
Ability to handle customer queries confidently."
Front Office Supervisor,Hotel Tradition & Spa,"Thamel, Kathmandu, Nepal",Mid level,NPR 17K - 21K,"Supervise and coordinate front desk staff, ensuring efficient check-in and check-out processes.
Handle guest inquiries, complaints, and special requests professionally.
Train and mentor front office team members to maintain high service standards.
Monitor reservations, room availability, and coordinate with housekeeping for smooth room turnovers.
Ensure accurate billing, cash handling, and financial transactions at the front desk.
Maintain hotel policies and security protocols, including guest verification and key management.
Prepare daily reports and assist in revenue tracking.
Collaborate with other hotel departments to enhance guest satisfaction."
Sales Representative,Né Nepal,"Sanepa, Lalitpur, Nepal",Not Found,Negotiable,"Greet customers warmly and ascertain their needs.
Provide product information and answer customer queries.
Handling customer complaints and concerns with professionalism and tact.
Meet or exceed sales goals and targets.
Actively promote current sales, promotions, and loyalty programs.
Maintain in-depth knowledge of products and services offered.
Stay updated on new arrivals and promotions.
Provide detailed product demonstrations when necessary.
Ensure the store is clean, organized, and well-stocked.
Arrange merchandise displays to attract customers.
Perform inventory checks and restock shelves as needed.
Participate in team meetings and training sessions.
Assist with opening and closing procedures.
Maintain accurate records of sales and customer transactions.
Freshers can apply.
Excellent communication with good fluency in English.
Proper coordination skills and time flexibility.
Greet customers warmly and ascertain their needs.
Provide product information and answer customer queries.
Handling customer complaints and concerns with professionalism and tact.
Meet or exceed sales goals and targets.
Actively promote current sales, promotions, and loyalty programs.
Maintain in-depth knowledge of products and services offered.
Stay updated on new arrivals and promotions.
Provide detailed product demonstrations when necessary.
Ensure the store is clean, organized, and well-stocked.
Arrange merchandise displays to attract customers.
Perform inventory checks and restock shelves as needed.
Work collaboratively with team members to achieve store objectives.
Participate in team meetings and training sessions.
Provide support to colleagues as needed.
Assist with opening and closing procedures.
Maintain accurate records of sales and customer transactions."
Sales & Front Dest Officer,Prabisha Trading Pvt. Ltd.,"Airport Gate, Airport Gate, Kathmandu, Nepal",Associate,Negotiable,"Welcome and greet visitors and clients with a friendly demeanor,
Offer clear information about our product and services to the customers,
Update and maintain visitor’s records in the database,
Manage mail and courier services, customer database and tele-callings.
Minimum education: 10+2 (Bachelor’s degree preferred).
At least one year of experience in a front desk or administrative role. However, freshers with strong communication and organizational skills are encouraged to apply.
Sound verbal and written communication skills in English.
Strong interpersonal skills,
Sound knowledge in MS Office applications (Word, Excel, Outlook),
Ability to handle phone calls, emails, and in-person inquiries efficiently,
Organizational and multitasking abilities.
Develop and implement marketing strategies,
Plan and execute online and offline marketing campaigns,
Generate leads and follow up with potential customers through calls, emails, and meetings.
Education: Minimum 10+2 (bachelor’s degree in marketing, Business Administration, or a related field preferred),
Experience: At least one year of experience in marketing, preferably in the automobile sales and marketing sector. However, freshers with strong communication and marketing skills are encouraged to apply,
Excellent communication and interpersonal skills,
Strong customer handling and negotioation skills,
Strong knowledge of social media marketing and digital platforms."
Customer Service Representative,Socialpulse.PTE,"Balkumari, Lalitpur, Nepal",Mid level,NPR 23K - 40K,"Provide customer support through various channels such as phone, email, and chat.
Stay updated with the company's product offerings, features, and updates.
Continuously meet and exceed customer satisfaction targets.
Participate in training sessions to enhance skills and knowledge about the product and company.
Provide feedback to improve customer service processes and procedures.
Display a professional and helpful attitude while representing the company to customers.
Excellent written and verbal communication skills in English and Hindi .
Excellent active listening skills
Excellent interpersonal and rapport building skills.
Patient and empathetic attitude
Strong time management and organizational skills
Adaptability and flexibility
Ability to work comfortably in a fast-paced environment
The company provides training for this position, so prior experience is not required.
Working hours 12pm to 9pm(1 hour break in between).
One day off per week, national holidays off.
Female candidates are encouraged to apply."
