Job Title,Company,Location,Job Level,Salary,Job Description
Pre-School (Montessori) Teacher,Shemrock Shikshalaya,"Hattiban, Lalitpur",Mid Level,Not Disclosed,"Care and educate kids in fun-filled waysTaking care of multiple kids and things at the same timePlan, prepare and deliver instructional activities that facilitate active learning experiencesWorking with fellow teachers and management to plan and coordinate work"
Middle School Incharge,Elite Grand School,"Chuchhepati, Mahankal, KMC - 06, Kathmandu, Bagmati, Nepal",Mid Level,"NRs. 35,000 - 50,000 Monthly","Academic planning, organizing, and administering the program effectivelyAssisting the Principal in order to develop and maintain the over-all academic standard of the schoolManaging the students from the lower secondary level to the secondary levelCorrespondence with guardians, senior teachers and studentsShould have experience in conducting and managing online classes"
Admin Coordinator,IEC College of Art and Fashion,"IEC School of Art & Fashion, Dillibazar, Kathmandu",Mid Level,"NRs. 50,000 - 60,000 Monthly","Develop, implement, and monitor academic programs in alignment with IEC’s vision and educational standards.Coordinate curriculum planning, course scheduling, and faculty assignments.Supervise and support faculty members to ensure effective teaching methodologies and high-quality academic delivery.Facilitate faculty meetings, professional development programs, and workshops.Ensure compliance with academic policies, accreditation standards, and institutional regulations.Assist in student counseling, academic advising, and resolving academic concerns.Oversee student assessments, grading systems, and performance evaluations.Work closely with the administration to enhance academic strategies and overall institutional growth.Foster an innovative and student-centered learning environment.Stay updated with industry trends and integrate new methodologies into the academic framework."
Primary Level Teacher,Elite Grand School,"Chuchhepati, Mahankal, KMC - 06, Kathmandu, Bagmati, Nepal",Mid Level,"NRs. 25,000 - 30,000 Monthly","Plan, prepare, and deliver engaging lessons for primary level students.Create a positive and inclusive learning environment conducive to the intellectual, social, and emotional development of young learners.Implement a variety of teaching strategies and instructional techniques to cater to diverse learning styles and abilities.Assess student progress regularly through formative and summative assessments.Provide timely and constructive feedback to students and parents/guardians to support student learning and growth.Collaborate with colleagues and school leadership to develop and implement curriculum, policies, and initiatives.Maintain accurate and up-to-date records of student attendance, performance, and behavior.Communicate effectively with parents/guardians regarding student progress, achievements, and concerns."
High School Teacher,Elite Grand School,"Chuchhepati, Mahankal, KMC - 06, Kathmandu, Bagmati, Nepal",Mid Level,"NRs. 50,000 - 70,000 Monthly","Plan and deliver engaging lessons as per the curriculum.Assess and evaluate students’ progress through tests, assignments, and projects.Develop lesson plans, teaching materials, and interactive activities.Encourage critical thinking, creativity, and problem-solving skills in students.Maintain discipline and a conducive learning environment in the classroom.Provide extra academic support to students who need additional guidance.Collaborate with school administration, parents, and fellow teachers for student success.Participate in school events, faculty meetings, and professional development programs."
Middle School Teacher,Elite Grand School,"Chuchhepati, Mahankal, KMC - 06, Kathmandu, Bagmati, Nepal",Mid Level,"NRs. 35,000 - 50,000 Monthly","Plan and deliver interactive lessons as per the school curriculum.Create a stimulating classroom environment that encourages student engagement.Assess and evaluate students' progress through assignments, projects, and tests.Provide individual attention to students needing extra support.Foster creativity, critical thinking, and problem-solving skills in students.Maintain classroom discipline and ensure a safe learning environment.Coordinate with parents, school administration, and fellow teachers for student development.Participate in faculty meetings, workshops, and extracurricular activities."
Digital Marketing Officer,Royal Everest Travel Agency,"Chakrapath, Kathmandu",Mid Level,"NRs. 30,000 - 40,000 Monthly","Design and implement digital marketing campaigns to attract and retain customersManage and optimize online advertising campaigns such as Google AdWords, Facebook ads, and others Create engaging and SEO-friendly content for our website and social media channels Monitor and analyze website traffic and online performance using tools like Google Analytics Develop and execute email marketing campaigns to target potential customers Collaborate with the sales team to identify opportunities for lead generation Stay in tune with the latest digital marketing trends and techniques"
Sales Officer,Times Business,Gairidhara,Mid Level,Not Disclosed,"Conduct market visit, generate quality enquiries and conversion into salesReporting of the enquiries in the system and periodic updateCollection of the relevant database of the prospectCompetition analysis and report the activityAchieve monthly sales targetCollection of receivables if any"
Software Solutions Engineer,ZenNepal,Thamel,Mid Level,"NRs. 50,000 - 100,000 Monthly",Onboard new users and configure their communications servicesUser Acceptance Testing Troubleshoot user account configurations when problems ariseEvaluate user account configurations for possible improvementsAssist technical and business teams to meet project requirementsAnswer support tickets from projects they are monitoringAttend client meetings to flesh out account needsMaintain information database for account supportScope and implement solutions/services based on client requirementsCreate technical documentationRecommend solutions and identify opportunities for improvement in existing servicesProvide training to users and internal teamsCollaborate with internal teams to help craft solutions
Sales Executive- SME,Ncell,Kathmandu,Not found,Not found,Not found
