Job Title,Company,Location,Job Level,Salary,Job Description
Visa Assistant,Lifestyle Holidays,Seto Durbar - Thamel - Nepal,Mid Career,Negotiable,"Assist clients with visa application processes, including documentation, forms, and requirements.
Stay updated on visa policies, entry requirements, and travel advisories for different countries.
Liaise with embassies, consulates, and visa processing agencies to ensure smooth application submissions.
Verify and review client documents (passports, photos, financial proofs, invitations, etc.) for accuracy and completeness.
Provide clear guidance to clients on visa procedures, processing times, and fees.
Maintain organized records of visa applications and track their status.
Handle customer inquiries via email, phone, or in-person regarding visa-related concerns.
Coordinate with the sales and travel consultant teams to ensure seamless travel planning.
Assist in resolving visa-related issues, such as delays or rejections, by suggesting alternatives.
Support other administrative tasks related to travel bookings, ticketing, and itineraries as needed."
Civil Engineer,POWERCHINA SEPCO1-NEPAL CO. LTD,Baneshwor - Kathmandu - Nepal,Mid Career,Negotiable,"Oversee the construction process for substation foundations.
Coordinate and communicate effectively with subcontractors to ensure smooth operations.
Resolve issues with subcontractors and provide technical support.
Prepare detailed reports and documentation related to the project.
Conduct site visits as needed to monitor progress and ensure quality standards are met.
Utilize CAD software for design and planning.
Ensure compliance with safety and quality standards.
Collaborate with project managers and other team members to meet project goals."
Chinese Translator,POWERCHINA SEPCO1-NEPAL CO. LTD,Kathmandu - Nepal,Mid Career,Negotiable,"Translate between Chinese and Nepali/English teams.
Coordinate with clients, project teams, and contractors.
Document project progress and ensure accurate communication.
Assist in meetings, site visits, and translation of technical documents."
Electrical Engineer,POWERCHINA SEPCO1-NEPAL CO. LTD,Kohalpur-Nepalgunj - Nepal,Mid Career,Negotiable,"Manage installation, testing, and commissioning of substation equipment.
Conduct inspections, troubleshooting, and repairs to minimize downtime.
Coordinate with NEA, subcontractors, and contractors for smooth project execution.
Ensure compliance with safety standards and industry best practices.
Collaborate with project teams to meet deadlines and objectives."
On Site Supervisor,POWERCHINA SEPCO1-NEPAL CO. LTD,New Baneshwor - Kathmandu - Nepal,Mid Career,Negotiable,"Supervise and manage the day-to-day operations at the construction site, specifically for substation foundations.
Coordinate with the Civil Engineer and other team members to ensure smooth execution of the project.
Monitor work progress, ensure adherence to safety protocols, and report any issues to the project manager.
Oversee subcontractor activities and ensure that work is completed according to specifications.
Maintain accurate records of on-site activities, material usage, and any changes to the project.
Ensure the construction process follows quality and safety standards."
Videogrpaher (Part-Time),Arksh Group,Lazimpat - Kathmandu - Nepal,Mid Career,Negotiable,"Shoot high-quality product videos for e-commerce listings, social media ads, and promotional campaigns.
Create eye-catching Instagram/Facebook/TikTok reels to showcase products in a trendy and engaging format.
Edit videos using software like Adobe Premiere Pro, Final Cut Pro, or CapCut (color grading, sound mixing, transitions, etc.).
Ensure videos align with Arksh Group’s brand identity and marketing goals."
Physiotherapist,Nirvana Physiotherapy & Wellness Center,"Bhaktapur, Lazimpat - Nepal",Mid Career,Negotiable,"Manual therapy (joint mobilization, soft tissue release)
Electrotherapy (TENS, ultrasound)
Therapeutic exercises & rehabilitation programs
Postural correction & ergonomic advice
Treat conditions like back pain, sports injuries, stroke rehab, arthritis, and post-op recovery.
Monitor patient progress and adjust treatment plans accordingly."
Marketing Officer,Nirvana Physiotherapy & Wellness Center,Lazimpat - Kathmandu - Nepal,Mid Career,Negotiable,"Understand services, specialties, and patient success stories for marketing content.
Align campaigns with clinical expertise (e.g., spine care, sports injury rehab).
Coordinate referral programs with local physicians and hospitals.
∙Organize doctor-led webinars/workshops to build credibility and attract patients."
Content Creator,Celltron Nepal Pvt. Ltd.,Bagbazar - Kathmandu - Nepal,Mid Career,Negotiable,"1. Develop, plan and create engaging content for social media platforms."
Brand Promoter,Celltron Nepal Pvt. Ltd.,Bagbazar - Kathmandu - Nepal,Mid Career,Negotiable,1. Promoting the Brand
BTL - Supervisor,Call Mobility Pvt Ltd,Bagbazar - Kathmandu - Nepal,Mid Career,Negotiable,"1. Event & Activation Management - Organizing trade shows, roadshows, in-store promotions and experimental marketing campaigns."
Marketing Manager,Call Mobility Pvt Ltd,Bagbazar - Kathmandu - Nepal,Mid Career,Negotiable,"1. Event & Activation Management - Organizing trade shows, roadshows, in-store promotions and experimental marketing campaigns."
Social Media Intern,The Himalayan Times,"Maharajgunj, Kathmandu - Nepal",Entry Level,Negotiable,"Manage the company’s social media accounts and create engaging content.
Brainstorm and contribute ideas for social media campaigns.
Monitor and analyze engagement on platforms like Facebook and Instagram.
Support the marketing team during live and online events."
